arc,vmedian,vmean
31104-31104,130.5,185.55555555555554
31104-31110,280.0,275.2156862745098
31104-31113,122.5,175.11111111111111
31104-31114,158.5,181.125
31104-31116,159.0,185.74468085106383
31104-31296,89.0,97.4074074074074
31110-31104,374.0,374.93548387096774
31110-31110,320.0,325.62068965517244
31110-31113,286.5,302.3888888888889
31110-31114,209.0,240.48275862068965
31110-31116,196.5,210.42307692307693
31110-31296,426.0,435.03636363636366
31113-31104,144.5,198.71428571428572
31113-31110,182.0,201.1492537313433
31113-31113,254.0,270.1904761904762
31113-31114,117.0,125.63636363636364
31113-31116,132.5,159.66666666666666
31113-31296,159.0,173.52272727272728
31114-31104,174.0,204.47826086956522
31114-31110,135.0,142.85882352941175
31114-31113,200.0,241.0
31114-31114,144.0,232.82608695652175
31114-31116,171.5,242.0
31114-31296,227.0,254.77551020408163
31116-31104,262.0,259.875
31116-31110,130.0,141.36363636363637
31116-31113,233.0,254.13333333333333
31116-31114,86.0,131.21428571428572
31116-31116,224.0,255.41666666666666
31116-31296,272.5,287.8125
31296-31104,94.0,161.79310344827587
31296-31110,288.0,304.83076923076925
31296-31113,163.0,193.0212765957447
31296-31114,208.5,231.2608695652174
31296-31116,177.5,189.55882352941177
31296-31296,188.0,242.12
