hour,startinendout_lambda,loglambda,startoutendin_lambda
0.0,1.0,0.0,2.1818181818181817
1.0,1.0,0.0,1.7037037037037037
2.0,1.0,0.0,1.1111111111111112
3.0,1.0,0.0,1.0
4.0,1.0,0.0,1.125
5.0,6.461538,1.865867369953203,2.6785714285714284
6.0,16.153846,2.7821581637321224,6.7384615384615385
7.0,38.076923,3.6396084030869518,8.246153846153845
8.0,38.076923,3.6396084030869518,15.36923076923077
9.0,19.076923,2.948479384671187,8.153846153846153
10.0,7.384615,1.9993987819229648,6.015384615384615
11.0,7.384615,1.9993987819229648,7.230769230769231
12.0,7.384615,1.9993987819229648,8.292307692307693
13.0,7.384615,1.9993987819229648,8.338461538461539
14.0,7.384615,1.9993987819229648,10.169230769230769
15.0,12.307692,2.51022443277229,13.169230769230769
16.0,13.384615,2.59410591301736,16.307692307692307
17.0,26.538462,3.2785950769611274,39.07692307692308
18.0,23.923077,3.1748435579331313,36.03076923076923
19.0,21.538462,3.069840267136284,24.984615384615385
20.0,18.923077,2.9403821825358665,17.246153846153845
21.0,15.538462,2.7433183696426378,12.123076923076923
22.0,9.076923,2.2057352585295518,8.553846153846154
23.0,4.89,1.5871923034867805,4.682539682539683
